0	MiningDamagePercentage
0	ChanceForExtraOre
0	GainDurabilityOnOreWall
0	MiningDamageAsMeleeDamage
0	MiningSpeedIncrease
0	ExplosivesImprovement
0	MovementIncreaseAfterMining
0	ChanceForRandomLootFromWall
1	DrainLessHunger
1	DodgeIncreaseWhileStandingStill
1	MovementIncreaseAfterConsistentRunning
1	MovementIncreaseAfterDodge
1	SnareTimeReduction
1	StackingDamageWhileRunning
1	NearbyEnemiesSlowedDown
1	ArmorIncreaseFromMovementSpeed
2	MeleeAttackSpeed
2	StackingMeleeDamage
2	IncreaseAttackSpeedOnNextThreeAttacksChance
2	KnockbackChance
2	MeleeDamageIncreaseOnHittingSameTarget
2	ChanceOnMeleeHitToIncreaseRangeDamage
2	ChanceToRestoreHealthOnMeleeHit
2	DamageIncreaseAgainstBosses
3	MaxHealthIncreaseFromAllSkillPoints
3	DamageIncreaseAtMaxHealth
3	DamageIncreaseAtLowerHealth
3	HealthRegenIncreaseBelowHalfHealth
3	HealingEffectivenessIncrease
3	HealingPotionAddHealOverTime
3	ReducedDamageTakenFromBosses
3	ChanceToNotDieOnLethalHit
4	ExtraItemChanceAtBaseBuilding
4	ToolDurabilityLastsLonger
4	EquipmentDurabilityLastsLonger
4	ExtraItemChanceAtAlchemyTable
4	ExtraItemChanceAtRailsWiresAndBelts
4	CostReductionAtAnvil
4	PolishedItemChanceAtJewelryTable
4	IncreasedArmorAtLowHealth
5	RangeAttackSpeed
5	StackingRangeDamage
5	GuaranteedRangeCritsChance
5	ChanceToApplySlimeOnRangeHit
5	ChanceOnRangeHitToIncreaseMeleeDamage
5	ChanceToStunOnRangeHit
5	StandingStillIncreaseRangeDamage
5	CriticalDamageMultiplier
6	SeedFromPlantChanceIncrease
6	GainMoreFood
6	GainHungerFromHarvesting
6	CriticalHitMultiplier
6	ThornsDamageIncrease
6	ChanceToApplyPoison
6	ChanceToGainHigherRarityPlants
6	DamageIncreaseAgainstPoisoned
7	FishBitesFaster
7	FishChanceIncrease
7	FishStartsCloserToBeReeledIn
7	DodgeChanceIncrease
7	ReducedImpactOfSlipperyMovement
7	ChanceToPreserveBait
7	FishingAsRangeDamage
7	IncreaseDamageWhenEatingFish
8	GainMoreFoodFromCookedFood
8	WellFedBuffsThresholdReduction
8	StrongerWellFedBuffs
8	IncreaseAttackSpeedFromCookedFood
8	FoodBuffsLastLonger
8	IncreaseDamageForAllNearbyAllies
8	ChanceToGainHigherRarityCookedFood
8	NearbyAlliesGainHealingFromCookedFood
9	CritChance
9	ManaOnCrit
9	MagicBarrierDelayReduction
9	MagicBarrierAsDamage
9	BonusDamageOnCrit
9	MagicBarrierAsManaRegeneration
9	RemainingManaAsDamage
9	ManaRegenDelayReduction
10	MinionAttackSpeed
10	MinionCritChance
10	PlayerAttackSpeedPerMinion
10	MagicDamagaAsMinionDamage
10	MinionCountAsMagicBarrier
10	MinionCountAsMagicDamage
10	MinionLifespan
10	MinionDespawnHealsPlayer
11	IncreasedExplosiveRadius
11	ChanceToNotConsumeExplosives
11	ChanceToDropExplosiveComponents
11	ReducedDamageFromExplosions
11	GainManaFromExplosionDamage
11	MeleeDamageOnExplosionKill
11	IncreasedBurningDamage
11	ChanceToSpawnNapalmOnExplosion
